"Q13.0","ICD10CM","CM_751.22"
"Q13.2","ICD10CM","CM_751.22"
"743.45","ICD9CM","CM_751.221"
"Q13.1","ICD10CM","CM_751.221"
"Q13.81","ICD10CM","CM_751.222"
"743.41","ICD9CM","CM_751.23"
"Q13.4","ICD10CM","CM_751.23"
"743.42","ICD9CM","CM_751.231"
"743.43","ICD9CM","CM_751.231"
"Q13.3","ICD10CM","CM_751.231"
"743.47","ICD9CM","CM_751.24"
"Q13.5","ICD10CM","CM_751.241"
"743.5","ICD9CM","CM_751.3"
"743.52","ICD9CM","CM_751.3"
"743.54","ICD9CM","CM_751.3"
"743.55","ICD9CM","CM_751.3"
"743.58","ICD9CM","CM_751.3"
"743.59","ICD9CM","CM_751.3"
"Q14","ICD10CM","CM_751.3"
"Q14.8","ICD10CM","CM_751.3"
"Q14.9","ICD10CM","CM_751.3"
"743.51","ICD9CM","CM_751.31"
"Q14.0","ICD10CM","CM_751.31"
"743.56","ICD9CM","CM_751.32"
"Q14.1","ICD10CM","CM_751.32"
"743.57","ICD9CM","CM_751.33"
"Q14.2","ICD10CM","CM_751.33"
"743.53","ICD9CM","CM_751.34"
"Q14.3","ICD10CM","CM_751.34"
"365.14","ICD9CM","CM_751.4"
"743.2","ICD9CM","CM_751.4"
"743.20","ICD9CM","CM_751.4"
"743.21","ICD9CM","CM_751.4"
"743.22","ICD9CM","CM_751.4"
"Q15.0","ICD10CM","CM_751.4"
"377.22","ICD9CM","CM_751.5"
"377.23","ICD9CM","CM_751.5"
"743.4","ICD9CM","CM_751.5"
"743.52","ICD9CM","CM_751.5"
"H47.31","ICD10CM","CM_751.5"
"H47.311","ICD10CM","CM_751.5"
"H47.312","ICD10CM","CM_751.5"
"H47.313","ICD10CM","CM_751.5"
"H47.319","ICD10CM","CM_751.5"
"Q12.2","ICD10CM","CM_751.5"
"Q13.0","ICD10CM","CM_751.5"
"Q11.3","ICD10CM","CM_751.6"
"743.6","ICD9CM","CM_751.7"
"Q10","ICD10CM","CM_751.7"
"743.62","ICD9CM","CM_751.71"
"743.63","ICD9CM","CM_751.71"
"Q10.1","ICD10CM","CM_751.71"
"Q10.2","ICD10CM","CM_751.71"
"Q10.3","ICD10CM","CM_751.71"
"743.61","ICD9CM","CM_751.711"
"Q10.0","ICD10CM","CM_751.711"
"743.64","ICD9CM","CM_751.8"
"743.65","ICD9CM","CM_751.8"
"Q10.4","ICD10CM","CM_751.8"
"Q10.5","ICD10CM","CM_751.8"
"Q10.6","ICD10CM","CM_751.8"
"744.0","ICD9CM","CM_752"
"744.00","ICD9CM","CM_752"
"744.02","ICD9CM","CM_752"
"744.09","ICD9CM","CM_752"
"744.2","ICD9CM","CM_752"
"744.29","ICD9CM","CM_752"
"744.3","ICD9CM","CM_752"
"Q16","ICD10CM","CM_752"
"Q16.9","ICD10CM","CM_752"
"Q17","ICD10CM","CM_752"
"Q17.3","ICD10CM","CM_752"
"Q17.8","ICD10CM","CM_752"
"Q17.9","ICD10CM","CM_752"
"Z87.721","ICD10CM","CM_752"
"744.21","ICD9CM","CM_752.1"
"744.23","ICD9CM","CM_752.11"
"Q17.2","ICD10CM","CM_752.11"
"744.01","ICD9CM","CM_752.12"
